Open,High,Low,Close,Adj Close,Volume
1171.83,1178.0,1134.57,1139.91,1139.91,2157000
1145.8,1159.76,1142.35,1148.89,1148.89,2093500
1149.57,1162.5,1135.66,1150.61,1150.61,1669100
1155.35,1156.81,1131.36,1134.42,1134.42,2932800
1117.76,1119.37,1088.92,1100.07,1100.07,3182800
1098.4,1105.55,1082.42,1095.8,1095.8,2729900
1092.57,1108.7,1087.21,1094.0,1094.0,2244900
1080.01,1083.92,1049.64,1053.15,1053.15,3465600
1051.37,1066.78,1024.87,1026.55,1026.55,2494000
1050.6,1059.27,1010.58,1054.09,1054.09,3299200
1063.9,1064.54,997.62,1006.94,1006.94,3040800
1001.91,1024.99,984.0,1005.18,1005.18,3884900
1011.21,1048.05,1004.04,1037.14,1037.14,3466900
1027.62,1039.53,994.25,1012.63,1012.63,3253400
1016.15,1025.0,997.25,1018.68,1018.68,2566100
998.23,1032.74,996.51,1029.71,1029.71,2536200
1046.39,1046.71,1024.0,1032.64,1032.64,1791800
1023.1,1036.0,1006.25,1009.95,1009.95,2006700
1020.04,1044.59,1019.2,1020.09,1020.09,1661000
1030.26,1041.21,1015.41,1036.5,1036.5,1831000
1032.0,1035.87,1019.2,1025.06,1025.06,1703000
1031.47,1044.65,1026.05,1037.29,1037.29,1644800
1046.89,1052.98,1030.15,1036.04,1036.04,1270500
1045.55,1051.43,1033.92,1046.1,1046.1,1488800
1061.2,1085.0,1057.09,1079.36,1079.36,2729200
1079.01,1082.0,1070.52,1075.39,1075.39,1556300
1069.02,1097.51,1069.02,1089.45,1089.45,1994200
1084.27,1094.75,1072.1,1077.32,1077.32,2121700
1082.98,1088.0,1066.68,1073.81,1073.81,3479500
1059.2,1064.49,1012.86,1022.64,1022.64,6411000
1029.75,1036.07,1017.01,1022.99,1022.99,2893000
1033.22,1052.02,1020.45,1043.31,1043.31,2546300
1045.54,1051.7,1027.59,1031.45,1031.45,2037300
1034.42,1038.37,1018.3,1018.58,1018.58,1724600
1016.3,1041.73,1010.61,1040.75,1040.75,1766300
1034.0,1043.98,1023.16,1026.05,1026.05,1734900
1025.37,1030.69,1007.89,1026.3,1026.3,1964100
1019.61,1051.88,1018.05,1051.0,1051.0,1844600
1053.89,1065.0,1050.27,1059.46,1059.46,1720000
1064.62,1065.23,1051.64,1058.59,1058.59,1301500
1064.1,1094.0,1062.11,1088.95,1088.95,2358000
1095.0,1109.41,1093.88,1105.47,1105.47,1820700
1100.41,1109.01,1097.22,1103.38,1103.38,1525200
1105.57,1118.15,1104.8,1106.6,1106.6,1966900
1096.9,1099.12,1078.78,1084.87,1084.87,1786900
1085.09,1094.38,1081.63,1084.09,1084.09,1281400
1081.46,1091.0,1076.42,1081.26,1081.26,1286900
1066.0,1073.73,1064.68,1069.64,1069.64,1774100
1079.0,1093.3,1078.0,1084.01,1084.01,1259000
1089.8,1091.8,1072.26,1075.31,1075.31,1111300
1070.0,1088.0,1066.96,1085.96,1085.96,1187000
1086.9,1087.12,1072.3,1085.45,1085.45,1030200
1086.55,1089.57,1082.6,1084.08,1084.08,1111200
1076.0,1081.34,1063.08,1068.07,1068.07,1803800
1073.48,1078.99,1066.55,1077.47,1077.47,1434300
1082.0,1110.0,1078.0,1100.0,1100.0,3968400
1112.87,1138.16,1112.01,1135.0,1135.0,3160100
1138.5,1157.86,1137.0,1153.04,1153.04,2237700
1154.66,1161.1,1147.46,1151.02,1151.02,1648200
1152.77,1154.71,1136.32,1146.95,1146.95,1746700
1144.58,1145.87,1126.12,1134.42,1134.42,1805400
1131.21,1138.78,1123.23,1132.71,1132.71,1364200
1132.94,1147.74,1131.4,1140.9,1140.9,1239800
1141.02,1148.75,1141.02,1148.19,1148.19,1304600
1152.28,1155.64,1143.38,1144.23,1144.23,1715100
1152.21,1165.99,1150.6,1160.11,1160.11,1771100
1159.92,1163.91,1153.69,1159.27,1159.27,2221900
1152.69,1184.13,1151.0,1183.58,1183.58,1651900
1170.11,1182.81,1161.61,1178.69,1178.69,2364100
1183.3,1201.49,1182.03,1184.07,1184.07,2584300
1185.51,1190.33,1163.48,1169.44,1169.44,2248300
1171.49,1175.0,1159.65,1169.29,1169.29,1711000
1155.0,1155.99,1119.9,1139.28,1139.28,2884100
1144.14,1146.87,1129.0,1132.62,1132.62,1734400
1136.0,1146.21,1116.7,1116.94,1116.94,1726900
1112.39,1134.0,1106.07,1126.78,1126.78,1486300
1132.31,1141.36,1127.02,1129.19,1129.19,1578100
1115.35,1142.99,1106.6,1142.11,1142.11,1160800
1149.42,1149.91,1114.43,1116.28,1116.28,822400
1124.6,1144.14,1123.12,1141.29,1141.29,1429700
1141.77,1156.2,1137.24,1155.08,1155.08,1091000
1160.0,1167.93,1157.23,1167.28,1167.28,1079200
1169.99,1173.5,1162.56,1167.14,1167.14,1066700
1155.62,1180.44,1155.37,1171.46,1171.46,1662600
1174.86,1201.99,1173.1,1201.26,1201.26,2207400
1202.8,1210.44,1195.29,1204.42,1204.42,1630600
1203.81,1208.71,1193.4,1196.51,1196.51,1339200
1182.74,1218.76,1182.0,1213.08,1213.08,2008100
1208.53,1221.59,1204.56,1212.91,1212.91,1947400
1206.65,1216.48,1197.73,1199.1,1199.1,1916900
1199.24,1210.77,1196.59,1197.88,1197.88,1896900
1195.66,1215.1,1192.01,1211.0,1211.0,3272300
1271.0,1275.0,1244.14,1258.15,1258.15,5380000
1252.62,1278.24,1249.05,1275.94,1275.94,2555200
1267.18,1287.4,1263.0,1285.5,1285.5,2734300
1289.12,1291.44,1244.49,1252.89,1252.89,2418100
1245.05,1252.89,1224.17,1230.04,1230.04,2194800
1231.71,1241.21,1216.19,1227.22,1227.22,1969100
1239.11,1245.9,1224.94,1232.99,1232.99,1849700
1218.5,1244.41,1218.06,1241.13,1241.13,1735200
1245.18,1246.52,1229.42,1238.16,1238.16,1063200
1241.61,1242.46,1230.53,1237.67,1237.67,1105700
1252.01,1266.08,1251.8,1255.84,1255.84,2125300
1256.72,1271.72,1252.12,1261.33,1261.33,1717200
1262.73,1271.96,1260.1,1264.46,1264.46,1366300
1259.18,1261.2,1247.16,1252.51,1252.51,1330100
1251.2,1265.97,1247.03,1248.64,1248.64,1375000
1252.5,1260.59,1239.54,1258.14,1258.14,1404000
1244.28,1251.98,1226.24,1232.22,1232.22,1852600
1241.99,1243.7,1219.63,1224.06,1224.06,1608800
1222.04,1226.95,1204.0,1215.85,1215.85,1654600
1220.66,1225.91,1208.7,1221.95,1221.95,1110900
1223.02,1232.76,1215.03,1217.41,1217.41,1154100
1214.22,1226.53,1213.22,1221.75,1221.75,1114800
1219.88,1235.17,1219.35,1221.16,1221.16,1233300
1226.0,1237.4,1221.42,1236.75,1236.75,1222700
